"change_id";"old_description";"new_description";"human_label";"differences";"llm_decision";"llm_reason"
"core~205764";"tdf#163309 sw: fix boundary mark/label visibility

Editing the line, using fixed line height or using
metadata fields resulted broken or completely
invisible bookmark boundary marks and metadata labels.
Fix these, and improve not only visualization, but
readability of the metadata labels using auto
color label text and improved design.

Details:

tdf#163309 introduced bookmark boundary mark
labels, visualizing boundaries and metadata labels
of arbitrary text parts (not only text portions
inside the paragraph, like metadata fields)
using custom metadata colors, keeping also the
WYSIWYG text layout (metadata fields has custom
prefix/suffix support, but that breaks the
text layout).

Focusing on the metadata visualization, this
patch fixes the appearance and readability of
the metadata annotations and their custom labels
both stored in RDF, but some of the changes added
improved visibility for the plain bookmark boundary
marks, too (they weren't visible in line starting
and ending positions at fixed line height
paragraph settings).

= Fields and bookmarks on the same position =

Bookmark boundary marks with metadata visualization
are visible again without enabled field shading, to
avoid of the case, when shading of the RDF metadata
fields hid the bookmark boundary marks in the same
position.

= Fix bad clipping at fixed line height =

If bookmark boundary marks are enabled,
disable extra clipping of the text lines
at fixed line height:

– to show bookmark boundary marks in line
starting and ending positions (don't clip them);

– to show the upper part of the brackets
(don't clip it).

= Fix editing and overlapping boundary marks =

Use text-size brackets at bookmarks with RDF
metadata, not higher ones, also move the labels
nearer to the text as much as possible to avoid
of the different artifacts: editing didn't update
the line completely, overlapping neighborous
boundary marks, etc.

= New label design with improved readability =

Use thin ""auto color"" letters on a background colored
after the custom color of the RDF metadata. This way
no need to use thick letters, as before for the
colored text: the black (or only on very dark
background, white) text is uniformly readable.

Join the labels with the brackets, creating a big
labelled bracket.

Add narrow spaces before and after the label text
to get better visibility in the case of the short
labels.

Change to start-bottom labelling, i.e. replace the
positions of the labels: put the fist label under
the text at the opening bracket, and the second
label over the text at the closing bracket, because
the annotated headings and proper names always start
with uppercase letters, but mostly end with lowercase
ones, so it is possible to fix editing etc. artifacts
with much less overlapping of the labels and the text.

Enlarge the font size limit for the annotations (12 pt).

Follow-up to commit 412e0ab26618c38f548c340f85ef63bbe73ef6b2
""tdf#150717 sw RDF metadata: add custom color bookmark boundary marks"",
commit a4af3948e9212ef46149f906e5880f77693cca4b
""tdf#163309 sw: clean-up bookmark boundary mark labels"",
and commit 3393e52be0900ad63ceee0a43cd44d473ec8248a
""tdf#163309 sw: show rdf:type as labels on bookmark boundary marks"".";"tdf#172263 tdf#163309 sw: fix bookmark boundary mark/label visibility

Editing the line, using fixed line height or using metadata
fields resulted broken or completely invisible bookmark boundary
marks and metadata labels. Fix these, and improve not only
visualization, but readability of the metadata labels using auto
color label text and improved design.

Details:

tdf#163309 introduced bookmark boundary mark labels, visualizing
boundaries and metadata labels of arbitrary text parts (not only
text portions inside the paragraph, like metadata fields) using
custom metadata colors, keeping also the WYSIWYG text layout
(metadata fields has custom prefix/suffix support, but that
breaks the text layout).

Focusing on the metadata visualization, this patch fixes the
appearance and readability of the metadata annotations and their
custom labels both stored in RDF, but some of the changes added
improved visibility for the plain bookmark boundary marks, too
(they weren't visible in line starting and ending positions at
fixed line height paragraph settings).

= Fields and bookmarks on the same position =

Bookmark boundary marks with metadata visualization are visible
again without enabled field shading, to avoid of the case, when
shading of the RDF metadata fields hid the bookmark boundary
marks in the same position.

= Fix bad clipping at fixed line height =

If bookmark boundary marks are enabled, disable extra clipping of
the text lines at fixed line height:

– to show bookmark boundary marks in line starting and ending
positions (don't clip them);

– to show the upper part of the brackets (don't clip it).

= Fix editing and overlapping boundary marks =

Use text-size brackets at bookmarks with RDF metadata, not higher
ones, also move the labels nearer to the text as much as possible
to avoid of the different artifacts: editing didn't update the
line completely, overlapping boundary marks, etc.

= New label design with improved readability =

Use thin black letters on gray background, or custom color
background defined in the RDF metadata. This way no need to use
thick letters, as before for the colored text: the black text is
uniformly readable (except on very dark background color – a
future fix to do. Note: simply replacing COL_BLACK with COL_AUTO
doesn't work, because it uses the text background, not the label
background).

Join the labels with the brackets, creating a big labelled
bracket.

Add narrow spaces before and after the label text to get better
visibility in the case of the short labels.

Change to start-bottom labeling, i.e. replace the positions of
the labels: put the fist label under the text at the opening
bracket, and the second label over the text at the closing
bracket, because the annotated headings and proper names always
start with uppercase letters, but mostly end with lowercase ones,
so it is possible to fix editing etc. artifacts with much less
overlapping of the labels and the text.

Enlarge the font size limit for the annotations (12 pt).

Follow-up to commit 412e0ab26618c38f548c340f85ef63bbe73ef6b2
""tdf#150717 sw RDF metadata: add custom color bookmark boundary
marks"", commit a4af3948e9212ef46149f906e5880f77693cca4b
""tdf#163309 sw: clean-up bookmark boundary mark labels"", and
commit 3393e52be0900ad63ceee0a43cd44d473ec8248a ""tdf#163309 sw:
show rdf:type as labels on bookmark boundary marks"".";"KEEP";"['The new description references tdf#172263 instead of tdf#163309 in the title.', 'In the new label design section, the color scheme has been changed from auto-colored letters on a background colored after the custom color of the RDF metadata to thin black letters on gray background, or custom color background defined in the RDF metadata.', 'The reason for changing the color scheme is not explicitly stated in the new description.']";"KEEP";"While there are differences between the two descriptions, they both provide a detailed account of the changes made to improve the visibility and readability of bookmark boundary marks and metadata labels. The changes in color scheme may be a result of further refinements or improvements made since the original commit. However, as long as the semantic content remains the same, it is acceptable to keep the new description."
"core~203398";"tdf#59121 sw: add regression test for bookmark undo/redo

The bug was reported in 2013 where a sequence of Cut, Undo, Cut,
Undo, Redo, and Undo would restore the text but lose the bookmark.
This bug has been fixed in the meantime, but lacked a regression
test to prevent it from resurfacing.

This test uses the exact reproduction steps by inserting a bookmark,
selecting all text, cutting, and performing the Undo/Redo sequence,
and then asserting the bookmark is properly preserved.";"tdf#59121 sw: add regression test for bookmark undo/redo

The bug was reported in 2013 where a sequence of Cut, Undo, Cut,
Undo, Redo, and Undo would restore the text but lose the bookmark.

The bug was fixed as a side effect of commit 83edee300924
(""tdf#128739 sw: don't delete bookmarks prematurely in SwUndoDelete"",
2019-11-18) by Michael Stahl. tdf#128739 was primarily a crash bug
when working with fields; the fix replaced RemoveIdxFromRange() with
PaMCorrAbs() in SwUndoDelete::RedoImpl() and SwUndoInserts::UndoImpl(),
which also resolved the bookmark loss in tdf#59121 without explicitly
referencing it.

This test uses the exact reproduction steps by inserting a bookmark,
selecting all text, cutting, and performing the Undo/Redo sequence,
and then asserting the bookmark is properly preserved.";"KEEP";"['The new description provides additional context about the commit that fixed the bug (commit 83edee300924), including the author and date of the commit, a brief summary of the primary fix (tdf#128739), and the changes made in the commit that also resolved the bookmark loss in tdf#59121 without explicitly referencing it.']";"KEEP";"The additional context provides valuable information about the history of the bug fix, which can be useful for future reference and understanding of the codebase. It does not change the semantic content of the original description significantly."
"core~204766";"configure, win: Use Win/mixed path for JAVA_HOME

commit 08f3f447fb3209e58a3fe0adcfc13e860c224fdb
Date: Wed Apr 22 12:43:32 2026 +0200

remove additional PathFormatUnix wrapper

adjusted the PathFormat function to set
$formatted_path_unix to Unix-style/Cygwin paths
when building in Cygwin.

However, for JAVA_HOME (used e.g. for the Java
Java include paths and linker flags/paths),
Windows/mixed style paths are needed.
Use $formatted_path instead of $formatted_path_unix
for these.

This addresses the following build error seen in
a clean Cygwin build on Windows:

D:/src/lo/master/bean/native/win32/com_sun_star_comp_beans_LocalOfficeWindow.c(29): fatal error C1083: Cannot open include file: 'jawt_md.h': No such file or directory";"configure, win: Use Win/mixed path for JAVA_HOME

commit 08f3f447fb3209e58a3fe0adcfc13e860c224fdb
Date: Wed Apr 22 12:43:32 2026 +0200

remove additional PathFormatUnix wrapper

adjusted the PathFormat function to set
$formatted_path_unix to Unix-style/Cygwin paths
when building in Cygwin.

However, for JAVA_HOME (used e.g. for the Java
Java include paths and linker flags/paths),
Windows/mixed style paths are needed.
Use $formatted_path instead of $formatted_path_unix
for these.

However, keep using a Unix path for directory
checks, as these wouldn't work with Windows
paths for the WSL-as-helper build.
Once Java 8 is no longer supported, these checks
can be dropped altogether as those directories
don't exist with Java >= 9 any more anyway,
see discussion in [1].

This addresses the following build error seen in
a clean Cygwin build on Windows:

D:/src/lo/master/bean/native/win32/com_sun_star_comp_beans_LocalOfficeWindow.c(29): fatal error C1083: Cannot open include file: 'jawt_md.h': No such file or directory

[1] https://gerrit.libreoffice.org/c/core/+/204766/comments/ff0973b2_f15fdaf3";"KEEP";"The new description includes an additional sentence explaining that Unix paths should still be used for directory checks, as these wouldn't work with Windows paths for the WSL-as-helper build. It also provides a link to a discussion related to this change.";"KEEP";"The additional information in the new description helps provide more context and clarity about the changes made, making it more informative and useful for future readers."
"core~205153";"Module-specific colored NB background";"Resolves tdf#121174 - Module-specific theme colors

Shades the background of Notebookbars with module-specific
colors if theming is enabled. The patch adds four *NOTEBOOKBARCOLOR
colors in the UI theming section.

To deal with light/dark system themes, the color is merged with the
background at a transparency of 150 by default, which can be changed
via the expert setting common::Misc::NotebookbarColorTransparency.

MacOS is excluded since it draws the whole Notebookbar and has
no extra colors for the background.";"KEEP";"['The new description provides more context and details about the change, such as referencing a Jira ticket (tdf#121174), explaining the purpose of the patch (shading the background of Notebookbars with module-specific colors if theming is enabled), and mentioning the addition of four NOTEBOOKBARCOLOR colors in the UI theming section. It also includes information about handling light/dark system themes and adjustable transparency, as well as an explanation for MacOS exclusion. The old description only mentions the change in a more concise manner.']";"KEEP";"The additional details in the new description provide a clearer understanding of the changes made and their implications, making it more useful for other developers."
"core~204762";"configure, win: Use Win/mixed paths for tarball and Java paths (again)

commit 08f3f447fb3209e58a3fe0adcfc13e860c224fdb
Date: Wed Apr 22 12:43:32 2026 +0200

remove additional PathFormatUnix wrapper

adjusted the PathFormat function to set
$formatted_path_unix to Unix-style/Cygwin paths
when building in Cygwin.

However, for TARFILE_LOCATION and JAVA_HOME (incl.
Java include paths and linker flags), Windows/mixed style
paths are needed.
Use $formatted_path instead of $formatted_path_unix
for these.

This addresses the following build errors seen
in (2 different) clean Cygwin builds on Windows:

make[1]: *** No rule to make target '/cygdrive/c/sources/lo-external/boost_1_90_0.tar.xz', needed by 'C:/Users/mwegh/development/git/libreoffice-WORKTREE/workdir/UnpackedTarget/boost_1_90_0.tar.xz'. Stop.
make: *** [Makefile:137: boost] Error 2

and (once the first issue was fixed)

D:/src/lo/master/bean/native/win32/com_sun_star_comp_beans_LocalOfficeWindow.c(29): fatal error C1083: Cannot open include file: 'jawt_md.h': No such file or directory";"configure, win: Use Win/mixed path for external tarball path

commit 08f3f447fb3209e58a3fe0adcfc13e860c224fdb
Date: Wed Apr 22 12:43:32 2026 +0200

remove additional PathFormatUnix wrapper

adjusted the PathFormat function to set
$formatted_path_unix to Unix-style/Cygwin paths
when building in Cygwin.

However, for TARFILE_LOCATION, Windows/mixed style
paths are needed.
Use $formatted_path instead of $formatted_path_unix
for these.

Drop the now redundant/obsolete logic using
$formatted_path for the WSL_ONL_AS_HELPER case
further down because with this commit in place, this
is already set accordingly now for both,
Cygwin and WSL.

This fixes the following build error seen
in a clean Cygwin build on Windows:

make[1]: *** No rule to make target '/cygdrive/c/sources/lo-external/boost_1_90_0.tar.xz', needed by 'C:/Users/mwegh/development/git/libreoffice-WORKTREE/workdir/UnpackedTarget/boost_1_90_0.tar.xz'. Stop.
make: *** [Makefile:137: boost] Error 2";"KEEP";"[""The new description is more specific about the change being made, focusing on 'external tarball path' instead of 'tarball and Java paths'."", 'The old description mentions fixing two build errors, while the new one only mentions one.']";"KEEP";"The changes in the commit are the same, but the new description is more specific and clearer about the intended modification. This could potentially make it easier for other developers to understand the purpose of the commit."
"core~199180";"sc: syncing for SetNormalString operation";"sc: Syncing for SetNormalString operation

This reverts sorting in EnterData as we can do the sync in the
lower level with the current approach of overwriting.

We need to store the sc:ReorderParam and merge its order on change,
which can be used to reverse the sorting done to the default view
to the point when the sheet view was created. Then we can reapply
the sorting to the sheet view to restore it to the last state.

As SortOrderReverser and ReorderParam are partially storing the
same data, we might consider to combine them in the future.";"KEEP";"[""The old description includes 'sc:' prefix, which is missing in the new description."", 'The new description provides additional context about the changes being made (reverting sorting in EnterData and storing ReorderParam to reverse sorting).']";"KEEP";"The new description provides more detailed information about the changes, making it easier for others to understand the commit's purpose. The 'sc:' prefix is likely a convention or naming scheme that may not be necessary in the commit message."
"core~183724";"box2d: upgrade to 3.0.0

TODO: adapt code in slideshow

Downloaded from https://github.com/erincatto/box2d/archive/refs/tags/v3.0.0.tar.gz";"box2d: upgrade to 3.0.0

Add android.patch to fix

In file included from /home/tdf/jenkins/workspace/android_arm/workdir/UnpackedTarball/box2d/src/allocate.c:6:
/home/tdf/jenkins/workspace/android_arm/workdir/UnpackedTarball/box2d/src/core.h:50:3: error: Unsupported CPU
50 | #error Unsupported CPU
| ^
/home/tdf/jenkins/workspace/android_arm/workdir/UnpackedTarball/box2d/src/allocate.c:71:14: error: call to undeclared library function 'aligned_alloc' with type 'void *(unsigned int, unsigned int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
71 | void* ptr = aligned_alloc( B2_ALIGNMENT, size32 );
|

Downloaded from https://github.com/erincatto/box2d/archive/refs/tags/v3.0.0.tar.gz";"KEEP";"[""The new description includes an additional statement about fixing an error on Android using an 'android.patch'. The old description does not mention this."", 'In the new description, there is an error message indicating that the box2d upgrade to version 3.0.0 fails to compile on android_arm due to unsupported CPU and undeclared library function.']";"KEEP";"The additional information about the error on Android and the patch provided is useful for troubleshooting and fixing the issue, making it important to keep in the commit description."
"core~204894";"tdf#147021 Replace SAL_N_ELEMENTS() macro with C++17 std::size() across several files";"tdf#147021 Replace SAL_N_ELEMENTS() macro with std::size()";"REMOVE";"[""The old description includes 'C++17' which is missing in the new description."", ""The old description mentions 'across several files' which is not present in the new description.""]";"KEEP";"Including 'C++17' provides context about the environment where this change will be applied, and mentioning 'across several files' helps to understand the scope of the changes. These details are useful for understanding the commit without needing additional context."
"core~205900";"weld: Move weld::WaitObject to own header

Move the class out of weld.hxx into its own header, in
order to make it easier to keep an overview and to avoid
having to recompile ~all UI code when the class is
modified.";"weld: Move weld::WaitObject to own header/source

Move the class out of weld.hxx into its own header and
source file, in order to make it easier to keep an overview
and to avoid having to recompile ~all UI code when the class
is modified.";"REMOVE";"[""The new description includes 'source' while the old one does not."", ""The new description uses 'header/source' instead of just 'header'.""]";"KEEP";"Including 'source' provides a more accurate representation of the changes made, but it doesn't significantly alter the semantic content. However, using 'header/source' instead of just 'header' might be more clear and comprehensive for future readers."
"core~205846";"tdf#146023 Unify Formula Bar context menu with Cell Edit menu";"tdf#146023 Align Select All placement in Calc edit popups";"KEEP";"The old description mentions 'Unify Formula Bar context menu with Cell Edit menu', while the new description talks about 'Align Select All placement in Calc edit popups'. The focus and purpose of the changes seem different.";"REMOVE";"The new description does not clearly convey the original intent of the commit, which was to unify the context menus. The revised description seems to be about a different aspect of the application (Calc) and a different functionality (aligning Select All)."
