project,change_id,patchset_count,old_patchset,new_patchset,old_message_clean,new_message_clean
wikimedia,mediawiki%2Fservices%2Fparsoid~1304892,5,1,2,"prepare_vendor_patch.sh: Fix composer update command

* This is a follow up of Icbb4dfaa99ff2a9975fe1ad7028fc0cbbcbdc17b","prepare_vendor_patch.sh: Fix composer update command

* This is a follow up of Icbb4dfaa99ff2a9975fe1ad7028fc0cbbcbdc17b
* This fixes the command run for those of use who use relative
urls for the vendor repo arg."
wikimedia,mediawiki%2Fservices%2Fparsoid~1304892,5,2,3,"prepare_vendor_patch.sh: Fix composer update command

* This is a follow up of Icbb4dfaa99ff2a9975fe1ad7028fc0cbbcbdc17b
* This fixes the command run for those of use who use relative
urls for the vendor repo arg.","prepare_vendor_patch.sh: Fix composer update command

* This is a follow up of Icbb4dfaa99ff2a9975fe1ad7028fc0cbbcbdc17b
* This fixes the command run for those of use who use relative
urls for the vendor repo arg.
* Also resolve relative paths for the future."
wikimedia,mediawiki%2Fservices%2Fparsoid~1304892,5,3,4,"prepare_vendor_patch.sh: Fix composer update command

* This is a follow up of Icbb4dfaa99ff2a9975fe1ad7028fc0cbbcbdc17b
* This fixes the command run for those of use who use relative
urls for the vendor repo arg.
* Also resolve relative paths for the future.","prepare_vendor_patch.sh: Fix composer update command

* This is a follow up of Icbb4dfaa99ff2a9975fe1ad7028fc0cbbcbdc17b
* This fixes the command run for those of use who use relative
urls for the vendor repo arg.
* Also resolve relative paths for the future.

* [CSA] Also double-quoted several variable references for safety."
wikimedia,mediawiki%2Fcore~1302938,6,2,3,"ApiUpload: Return file description text from stash responses

Why:
- SpecialUpload needs a new way to generate file page text as it's being
changed to perform uploads in JS in order to support chunked uploads.

What:
- Add 'license', 'copystatus' and 'source' parameters to action=upload.
- Return 'text' in stash responses returned by ApiUpload.
- Passed as 'text' during finalization so the upload's wikitext
matches what SpecialUpload POST does. This is also needed so
extensions that rely on the getInitialPageText hook will continue to
work.","ApiUpload: Return file description text from stash responses

Why:
- SpecialUpload needs a new way to generate file page text as it's being
changed to perform uploads in JS in order to support chunked uploads.

What:
- Add 'license', 'copystatus' and 'source' parameters to action=upload.
- Return 'text' in stash responses returned by ApiUpload.
- Passed as 'text' during finalization so the upload's wikitext
matches what SpecialUpload POST does. This is also needed so
extensions that rely on the getInitialPageText hook will continue to
work.
- Set non-fatal 'upload-textwithstash' warning when 'text' is passed
alongside 'stash'.
- 'text' is ignored in this context and we should signal to API
callers that this is improper usage of the API."
wikimedia,mediawiki%2Fcore~1302938,6,3,4,"ApiUpload: Return file description text from stash responses

Why:
- SpecialUpload needs a new way to generate file page text as it's being
changed to perform uploads in JS in order to support chunked uploads.

What:
- Add 'license', 'copystatus' and 'source' parameters to action=upload.
- Return 'text' in stash responses returned by ApiUpload.
- Passed as 'text' during finalization so the upload's wikitext
matches what SpecialUpload POST does. This is also needed so
extensions that rely on the getInitialPageText hook will continue to
work.
- Set non-fatal 'upload-textwithstash' warning when 'text' is passed
alongside 'stash'.
- 'text' is ignored in this context and we should signal to API
callers that this is improper usage of the API.","ApiUpload: Generate 'text' when 'autotext' is true

Why:
- SpecialUpload needs a new way to generate file page text as it's being
changed to perform uploads in JS in order to support chunked uploads.

What:
- Add new optional 'autotext', 'license', 'copystatus' and 'source'
parameters to action=upload.
- Set 'text' to a generated value when 'autotext' is true in ApiUpload.
- This exists to allow the upload's wikitext to match what
SpecialUpload POST creates. This is also needed so extensions that
rely on the getInitialPageText hook will continue to work.
- Set non-fatal 'upload-textwithstash' warning when 'text' is passed
alongside 'stash'.
- 'text' is ignored in this context and we should signal to API
callers that this is improper usage of the API.
- Set non-fatal 'upload-autotextwithstash' warning when 'autotext' is
passed alongside 'stash'."
wikimedia,mediawiki%2Fextensions%2FChart~1305917,3,1,2,"Fix representation of axis format

axis format is an ENUM, with values 'none' or 'auto'","Fix representation of axis format in the Chart Wizard

axis format is an ENUM, with values 'none' or 'auto'"
wikimedia,mediawiki%2Fextensions%2FChart~1305917,3,2,3,"Fix representation of axis format in the Chart Wizard

axis format is an ENUM, with values 'none' or 'auto'","Fix representation of axis format in Chart Wizard

axis format is an ENUM, with values 'none' or 'auto'"
wikimedia,mediawiki%2Fcore~1304143,4,2,3,"libs>ObjectCache: Improve BagOStuff constructor docs slightly

- Re-arrange the constructor's docblock to match the flow of the
code in its definition.
- The `stats` option was still documented as IStatsdDataFactory but
this has long changed since we moved to StatsFactory.","libs>ObjectCache: Improve BagOStuff constructor docs slightly

- Re-arrange the constructor's docblock to match the flow of the
code in its definition.
- The `stats` option was still documented as IStatsdDataFactory but
this changed a while ago and we moved to StatsFactory."
wikimedia,mediawiki%2Fextensions%2FUniversalLanguageSelector~1302763,15,12,13,"ULS rewrite: add usePregressiveRender test spec

initial limit, growth in chunks, cleanup on unmount","ULS rewrite: add useProgressiveRender test spec

initial limit, growth in chunks, cleanup on unmount"
wikimedia,mediawiki%2Fextensions%2FUniversalLanguageSelector~1302763,15,13,14,"ULS rewrite: add useProgressiveRender test spec

initial limit, growth in chunks, cleanup on unmount","ULS rewrite: add useProgressiveRender test spec

Amongst other things, verify:
* initial limit,
* growth in chunks,
* cleanup on unmount"
wikimedia,mediawiki%2Fextensions%2FUniversalLanguageSelector~1302261,15,2,3,"ULS rewrite: add test spec for useTypeahead

Typeahead suggestion logic
- scenario for label match, code match, search-hit match
- no accepted suggestion found","ULS rewrite: add useTypeahead test spec

Typeahead suggestion logic
- scenario for label match, code match, search-hit match
- no accepted suggestion found"
wikimedia,mediawiki%2Fextensions%2FUniversalLanguageSelector~1305879,2,1,2,"ULS rewrite: Rename LanguageSettings to LanguageSettingsEntrypoint

This module only registers the entrypoint. Another module will be
added in subsequent patches that actually contains the language
settings code.","ULS rewrite: Rename LanguageSettings to LanguageSettingsEntrypoint

This module only registers the entrypoint. Another module will be
added in subsequent patches that actually contains the language
settings code.

Rename the module so that we don't load a large number of language
settings related code to display the basic language selector."
wikimedia,mediawiki%2Fextensions%2FBlueSpiceWikiFarm~1304050,3,1,2,"Reuse DB connection

To avoid `real_connect(): (HY000/1040): Too many connections`

ERM48514
[5.1.x]i","Reuse DB connection

To avoid `real_connect(): (HY000/1040): Too many connections`

ERM48514
[5.1.x]"
wikimedia,mediawiki%2Fextensions%2FBlueSpiceWikiFarm~1304050,3,2,3,"Reuse DB connection

To avoid `real_connect(): (HY000/1040): Too many connections`

ERM48514
[5.1.x]","Reuse DB connection

To avoid `real_connect(): (HY000/1040): Too many connections`

ERM48514
[5.1.x]i"
wikimedia,mediawiki%2Fextensions~1305904,2,1,2,Remove ShortUrl,Remove PerformanceInspector
wikimedia,mediawiki%2Fextensions%2FWanda~1306025,5,1,2,Rename 'Public knowledge' to 'LLM Knowledge' for accurate alignment,"Rename 'Public knowledge' to 'LLM Knowledge' for accurate alignment
The label ""Public knowledge"" was misleading — it refers specifically to
the LLM's built-in parametric knowledge, not publicly available
information in general. Rename it to ""LLM Knowledge"" across all
user-facing strings, i18n messages, and documentation.

Internal API parameter names (usepublicknowledge, publicknowledge) are
unchanged to avoid breaking API compatibility."
wikimedia,mediawiki%2Fextensions%2FWanda~1306025,5,2,3,"Rename 'Public knowledge' to 'LLM Knowledge' for accurate alignment
The label ""Public knowledge"" was misleading — it refers specifically to
the LLM's built-in parametric knowledge, not publicly available
information in general. Rename it to ""LLM Knowledge"" across all
user-facing strings, i18n messages, and documentation.

Internal API parameter names (usepublicknowledge, publicknowledge) are
unchanged to avoid breaking API compatibility.","Rename 'Public knowledge' to 'LLM Knowledge'for accurate alignment

The label ""Public knowledge"" was misleading — it refers specifically to
the LLM's built-in parametric knowledge, not publicly available
information in general. Rename it to ""LLM Knowledge"" across all
user-facing strings, i18n messages, and documentation.

Internal API parameter names (usepublicknowledge, publicknowledge) are
unchanged to avoid breaking API compatibility."
wikimedia,mediawiki%2Fextensions%2FWanda~1306025,5,3,4,"Rename 'Public knowledge' to 'LLM Knowledge'for accurate alignment

The label ""Public knowledge"" was misleading — it refers specifically to
the LLM's built-in parametric knowledge, not publicly available
information in general. Rename it to ""LLM Knowledge"" across all
user-facing strings, i18n messages, and documentation.

Internal API parameter names (usepublicknowledge, publicknowledge) are
unchanged to avoid breaking API compatibility.","Rename 'Public knowledge' to 'LLM Knowledge' for accurate alignment

The label ""Public knowledge"" was misleading — it refers specifically to
the LLM's built-in parametric knowledge, not publicly available
information in general. Rename it to ""LLM Knowledge"" across all
user-facing strings, i18n messages, and documentation.

Internal API parameter names (usepublicknowledge, publicknowledge) are
unchanged to avoid breaking API compatibility."
wikimedia,operations%2Fpuppet~1305937,6,2,3,"cloud-vps backups: exclude a few more categories of servers

These are all servers that exist in large sets, presumably generated
procedurally so easy to replace.

This change also removes reference to sge toolforge hosts because they
don't exist anymore.","cloud-vps backups: exclude a few more categories of servers

These are all servers that exist in large sets, presumably generated
procedurally so easy to replace.

This change also removes reference to sge toolforge hosts because they
don't exist anymore.

Also, include a few more deployment-prep VMs which I'm less sure we
can easily recreate."
wikimedia,operations%2Fpuppet~1305937,6,4,5,"cloud-vps backups: exclude a few more categories of servers

These are all servers that exist in large sets, presumably generated
procedurally so easy to replace.

This change also removes reference to sge toolforge hosts because they
don't exist anymore.

Also, include a few more deployment-prep VMs which I'm less sure we
can easily recreate.","cloud-vps backups: exclude CI runner nodes

These servers are identical to each other and trivial to
regenerate if one or all is/are lost."
wikimedia,mediawiki%2Fextensions%2FCitoid~1304648,2,1,2,"Add duplicate reference validation

*Added functions to validate if a new reference (DOI,URL or ISBN) is duplicated.
*Normalize and identify reference identifiers and compare them with the new reference.
*Includes duplicate message display in English and Portuguese and unit tests.","Add duplicate reference validation

*Added functions to validate if a new reference (DOI,URL or ISBN) is duplicated.
*Normalize and identify reference identifiers and compare them with the new reference.
*Includes duplicate message display in English and Portuguese and unit tests.
*Register message at extension.json
*Nested unit tests in one module"
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,1,2,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running composer test."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,2,3,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running composer test.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,3,4,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,4,5,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,5,6,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki."
